"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 20:21:01 CST 2024","Sat Feb 17 20:21:01 CST 2024","0","test_cases","test_login","TestLoginApis","","","test_login[正确账号登录]",""
"failed","Sat Feb 17 20:21:01 CST 2024","Sat Feb 17 20:21:01 CST 2024","0","test_cases","test_login","TestLoginApis","","","test_login[错误账号登录]",""
"passed","Sat Feb 17 20:21:01 CST 2024","Sat Feb 17 20:21:01 CST 2024","6","test_cases","test_login","TestLoginApis","","","test_register",""
"failed","Sat Feb 17 20:21:02 CST 2024","Sat Feb 17 20:21:02 CST 2024","0","test_cases","test_login","TestLoginApis","","","test_login[无密码登录]",""
"failed","Sat Feb 17 20:21:02 CST 2024","Sat Feb 17 20:21:02 CST 2024","4","test_cases","test_login","TestLoginApis","","","test_login[无账号登录]",""
